EnsemblID	external_gene_id	chromosome_name	end_position	start_position
ENSMUSG00000080535	Mir1186	8	31103042	31102921
ENSMUSG00000088481	SNORA17	3	77105285	77105209
ENSMUSG00000095142	CT573030.1	17	34687802	34687696
ENSMUSG00000076394	AL663045.1	11	65067807	65067709
ENSMUSG00000088192	SNORA17	8	86233977	86233854
ENSMUSG00000077787	SNORA17	6	118112045	118111914
ENSMUSG00000065823	n-R5s182	4	12812812	12812706
ENSMUSG00000089586	5S_rRNA	17	63097000	63096890
ENSMUSG00000093156	Mir3076	14	30572208	30572149
ENSMUSG00000088375	RNase_MRP	10	4568213	4567974
ENSMUSG00000096389	AL672019.1	X	52173205	52173135
ENSMUSG00000095160	AC154654.1	16	35440363	35440254
ENSMUSG00000092799	AC165361.1	17	17830459	17830343
ENSMUSG00000089530	U6	9	72257139	72257036
ENSMUSG00000095340	AL772216.50	2	10478030	10477910
ENSMUSG00000088787	U6	11	69075115	69075015
ENSMUSG00000092981	Mir5125	17	23823369	23823291
ENSMUSG00000089540	snoU13	19	17825627	17825520
ENSMUSG00000092721	AL807764.1	4	137951456	137951124
ENSMUSG00000088323	snoU109	1	143779062	143778928
ENSMUSG00000088728	U7	9	55104898	55104839
ENSMUSG00000088544	Mir1945	16	11254445	11254368
ENSMUSG00000095336	AL772216.49	2	10480291	10480165
ENSMUSG00000094048	AC168073.4	7	59589626	59589548
ENSMUSG00000096219	AC110744.1	8	5069377	5069259
ENSMUSG00000092845	AL732585.1	2	25055175	25055109
ENSMUSG00000096676	U6	1	134280991	134280885
ENSMUSG00000093344	AC161570.1	5	141080509	141080431
ENSMUSG00000080522	AC171241.1	14	48364402	48364337
ENSMUSG00000077095	AL772216.1	2	10509687	10509584
ENSMUSG00000065296	U6	10	94184573	94184492
ENSMUSG00000077622	SNORA61	4	94098418	94098290
ENSMUSG00000080413	U6atac	7	16234864	16234738
ENSMUSG00000096110	AC221015.31	7	59716152	59716059
ENSMUSG00000064512	U1	11	94919833	94919709
ENSMUSG00000080352	SNORD88	7	44248180	44248090
ENSMUSG00000089119	SNORA17	14	109883183	109883054
ENSMUSG00000093105	AC153918.1	6	117935593	117935469
ENSMUSG00000077664	SNORA17	1	31259719	31259593
ENSMUSG00000089131	SNORA18	13	46980848	46980720
ENSMUSG00000094824	SNORA17	10	59817797	59817666
ENSMUSG00000092875	AC149277.1	7	6840121	6839823
ENSMUSG00000095132	AC166110.1	17	13432139	13432033
ENSMUSG00000094527	AC073297.1	6	53872148	53872017
ENSMUSG00000094086	CT030685.2	9	4371335	4371269
ENSMUSG00000089240	U7	15	69454897	69454842
ENSMUSG00000096559	AC158997.1	9	72969708	72969602
ENSMUSG00000089607	U6	16	38927307	38927209
ENSMUSG00000088679	U7	15	46944448	46944387
ENSMUSG00000088015	Mir1932	11	119390561	119390472
ENSMUSG00000094263	CT025673.3	9	88521600	88521529
ENSMUSG00000080445	AC134855.1	8	107605434	107605337
ENSMUSG00000092806	AC120011.1	5	151702468	151702368
ENSMUSG00000088022	7SK	17	28447148	28446861
ENSMUSG00000093237	AC132575.1	16	4277198	4276923
ENSMUSG00000089226	5S_rRNA	12	45359782	45359699
ENSMUSG00000089029	SNORA17	3	103393034	103392933
ENSMUSG00000064793	U6	7	28123359	28123254
ENSMUSG00000064890	U6	3	99707847	99707740
ENSMUSG00000088317	7SK	9	106636583	106636318
ENSMUSG00000080349	AC159639.1	12	62599010	62598892
ENSMUSG00000089546	U6	1	61470543	61470441
ENSMUSG00000084467	n-R5s24	18	34509853	34509737
ENSMUSG00000064844	SNORD58	18	75001944	75001880
ENSMUSG00000089009	U6	2	121135296	121135191
ENSMUSG00000077586	SNORA17	12	59665784	59665654
ENSMUSG00000088794	7SK	3	73208001	73207703
ENSMUSG00000077252	SNORA17	1	172936334	172936212
ENSMUSG00000094377	AC159539.1	5	115490394	115490254
ENSMUSG00000065620	U2	9	37822784	37822586
ENSMUSG00000093292	Mir5118	16	55494797	55494731
ENSMUSG00000088814	5S_rRNA	13	113403188	113403088
ENSMUSG00000077104	AL772216.2	2	10509984	10509885
ENSMUSG00000084498	n-R5s98	8	54866379	54866261
ENSMUSG00000088510	SNORA17	1	102414021	102413923
ENSMUSG00000065798	U6	2	25006258	25006152
ENSMUSG00000065491	Mir7b	17	56243098	56242988
ENSMUSG00000077192	Snora17	2	26639321	26639190
ENSMUSG00000089613	U6	1	87415349	87415255
ENSMUSG00000077404	SNORA17	2	80707715	80707589
ENSMUSG00000092948	AC122189.1	1	116394413	116394342
ENSMUSG00000093562	AL807823.1	4	41213853	41213776
ENSMUSG00000064797	snoZ40	9	15315595	15315522
ENSMUSG00000080519	AC153564.1	10	11941067	11940973
ENSMUSG00000064429	U6	7	127079587	127079481
ENSMUSG00000089199	U6	4	137325614	137325559
ENSMUSG00000064802	U1	11	12054303	12054148
ENSMUSG00000087816	SNORA70	18	10757657	10757536
ENSMUSG00000077851	Mir876	4	36645453	36645373
ENSMUSG00000093935	CT025680.1	9	39048649	39048558
ENSMUSG00000088412	SNORA79	10	92689008	92688864
ENSMUSG00000084541	n-R5s45	14	12427641	12427532
