EnsemblID	external_gene_id	chromosome_name	start_position	end_position	strand
ENSDARG00000085558	U6	4	46849477	46849583	1
ENSDARG00000081379	U8	10	17025584	17025710	-1
ENSDARG00000088565	U6	4	42944651	42944757	-1
ENSDARG00000085883	U6	4	48687704	48687777	1
ENSDARG00000081132	CT027701.1	16	20826151	20826243	1
ENSDARG00000084626	5S_rRNA	1	34032921	34033035	1
ENSDARG00000083433	FP102461.1	16	36508394	36508477	1
ENSDARG00000091581	U6	4	48150603	48150709	1
ENSDARG00000089761	5_8S_rRNA	4	44017381	44017534	1
ENSDARG00000084694	SNORD27	12	23310028	23310093	-1
ENSDARG00000081597	mir734	1	33755561	33755653	1
ENSDARG00000089590	5S_rRNA	3	54953877	54953991	1
ENSDARG00000085747	5S_rRNA	5	35845572	35845686	-1
ENSDARG00000091518	U6	4	45801280	45801386	-1
ENSDARG00000088445	Metazoa_SRP	11	12271254	12271544	1
ENSDARG00000083239	CR847563.1	11	8629198	8629283	-1
ENSDARG00000082429	mir740	1	29153407	29153519	1
ENSDARG00000082391	5S_rRNA	2	9190899	9191016	-1
ENSDARG00000091517	U6	4	53132975	53133081	-1
ENSDARG00000085080	5S_rRNA	1	39972361	39972478	1
ENSDARG00000086939	U1	4	37785621	37785784	-1
ENSDARG00000090964	Metazoa_SRP	11	12285809	12286103	-1
ENSDARG00000088725	CU137681.5	17	47084055	47084152	-1
ENSDARG00000083122	mir190b	16	19768961	19769050	-1
ENSDARG00000089659	U6	4	56633614	56633720	-1
ENSDARG00000080100	mir135c-1	11	39340847	39340926	-1
ENSDARG00000083116	U1	4	45807935	45808083	1
ENSDARG00000090330	CR381601.4	1	13428608	13428705	-1
ENSDARG00000080633	U8	10	17023602	17023734	-1
ENSDARG00000090465	U3	14	11815676	11815890	-1
ENSDARG00000087137	U6	4	45793878	45793984	-1
ENSDARG00000082315	mir10a	12	28705900	28705998	1
ENSDARG00000086852	Metazoa_SRP	11	11582182	11582476	1
ENSDARG00000084083	SNORD27	12	35956363	35956428	1
ENSDARG00000081288	5S_rRNA	Zv9_NA68	28639	28756	1
ENSDARG00000082888	dre-mir-126b	11	38495952	38496054	1
ENSDARG00000088666	5S_rRNA	6	1284309	1284423	1
ENSDARG00000083788	U6	4	48165082	48165155	1
ENSDARG00000088596	U6	4	45778554	45778660	-1
ENSDARG00000086092	U6	4	53135605	53135711	-1
ENSDARG00000090079	Metazoa_SRP	11	12552072	12552366	-1
ENSDARG00000081770	AL935174.2	17	23100438	23100523	-1
ENSDARG00000085642	5S_rRNA	3	53547585	53547699	1
ENSDARG00000086424	CU137681.2	17	47193098	47193195	1
ENSDARG00000084389	5S_rRNA	5	30853020	30853136	1
ENSDARG00000090359	U6	4	51301689	51301795	1
ENSDARG00000085984	5S_rRNA	2	1824450	1824564	1
ENSDARG00000087077	U6	4	45775387	45775493	-1
ENSDARG00000083254	SNORD79	8	17131066	17131147	-1
ENSDARG00000086822	5S_rRNA	2	20255652	20255766	-1
ENSDARG00000081098	dre-mir-196d	16	22997843	22997914	1
ENSDARG00000090049	U3	14	11818171	11818385	-1
ENSDARG00000084740	5S_rRNA	2	15706358	15706472	1
ENSDARG00000088531	5S_rRNA	1	20463016	20463130	-1
ENSDARG00000090303	U6	4	42945176	42945282	-1
ENSDARG00000083754	snR51	10	38979497	38979585	1
ENSDARG00000085746	5S_rRNA	1	40200184	40200311	1
ENSDARG00000085543	5S_rRNA	Zv9_NA463	18765	18883	-1
ENSDARG00000083685	5S_rRNA	1	56604781	56604902	1
ENSDARG00000090593	U1	4	37794756	37794919	-1
ENSDARG00000090705	5_8S_rRNA	4	49791969	49792122	-1
ENSDARG00000085486	5S_rRNA	6	6132609	6132725	1
ENSDARG00000082355	U8	10	17026754	17026878	-1
ENSDARG00000080320	CR589944.1	11	18501727	18501819	-1
ENSDARG00000083812	snR50	12	37500386	37500475	1
ENSDARG00000089201	Metazoa_SRP	11	12287744	12288035	1
ENSDARG00000083397	BX470182.1	16	42871500	42871612	-1
ENSDARG00000089649	BX927136.1	18	10118683	10118800	1
ENSDARG00000089865	5_8S_rRNA	4	43907851	43908004	-1
ENSDARG00000085343	5S_rRNA	1	35862376	35862492	1
ENSDARG00000091170	U6	4	45779084	45779190	-1
ENSDARG00000090251	U6	4	53138780	53138886	-1
ENSDARG00000085600	5S_rRNA	5	25342194	25342310	1
ENSDARG00000084717	5S_rRNA	1	31164296	31164415	-1
ENSDARG00000091761	mir430c-7	4	28013267	28013348	1
ENSDARG00000080999	5S_rRNA	5	69532929	69533046	-1
ENSDARG00000088431	U6	4	45796520	45796626	-1
ENSDARG00000081129	5S_rRNA	2	3751376	3751490	1
ENSDARG00000087404	U6	4	53136135	53136241	-1
ENSDARG00000087447	5S_rRNA	Zv9_scaffold3533	31167	31290	1
ENSDARG00000085959	5S_rRNA	2	47967141	47967256	-1
ENSDARG00000085074	5S_rRNA	4	2452926	2453041	1
ENSDARG00000081331	mir138	18	17239327	17239413	1
ENSDARG00000081442	mirlet7c-1	15	29144917	29145023	1
ENSDARG00000085363	5S_rRNA	3	56150715	56150830	1
ENSDARG00000087264	Metazoa_SRP	11	11583682	11583976	1
ENSDARG00000081844	BX072570.1	12	30882722	30882811	-1
ENSDARG00000086081	mir430b-11	4	28014661	28014741	1
ENSDARG00000086392	CU638695.2	11	43580758	43580871	1
ENSDARG00000081704	dre-mir-107b	17	23402957	23403042	1
ENSDARG00000090249	CABZ01021824.1	1	13439641	13439738	-1
ENSDARG00000089768	Metazoa_SRP	11	12556037	12556331	1
ENSDARG00000080355	CR749750.1	1	34131815	34131920	1
ENSDARG00000090639	U1	4	37786926	37787089	-1
ENSDARG00000085413	5S_rRNA	4	58203662	58203776	-1
ENSDARG00000089982	mir430c-11	4	28009764	28009845	1
ENSDARG00000088169	U1	4	56653783	56653931	1
ENSDARG00000090384	5S_rRNA	1	40403679	40403793	1
ENSDARG00000091636	U6	4	45801807	45801913	-1
ENSDARG00000086563	U1	4	51296058	51296206	-1
ENSDARG00000086064	U1	4	37796061	37796224	-1
ENSDARG00000085825	SCARNA11	11	5565991	5566122	1
ENSDARG00000085860	SNORD27	13	17373815	17373852	1
ENSDARG00000082825	mirlet7d-1	16	27120415	27120511	1
ENSDARG00000087286	U5	5	44739975	44740090	-1
ENSDARG00000082214	BX470074.1	18	17354241	17354307	-1
ENSDARG00000088710	U6	4	45775912	45776018	-1
ENSDARG00000080924	SNORD79	8	17131335	17131417	-1
ENSDARG00000086674	Metazoa_SRP	11	12289100	12289394	1
ENSDARG00000083974	5S_rRNA	Zv9_NA574	31599	31713	1
ENSDARG00000088275	U6	4	45791239	45791345	-1
ENSDARG00000086480	U8	10	17027550	17027682	-1
ENSDARG00000086682	CU104784.2	16	45143137	45143210	1
ENSDARG00000083223	BX088710.1	18	22572136	22572207	1
ENSDARG00000082907	mir124-4	17	27261182	27261264	1
ENSDARG00000084258	U6	4	42947813	42947919	-1
ENSDARG00000085104	5S_rRNA	1	23681956	23682072	-1
ENSDARG00000083946	CU633621.1	11	21054525	21054626	1
ENSDARG00000089265	U1	4	37797366	37797529	-1
ENSDARG00000085775	5S_rRNA	2	9664426	9664542	1
ENSDARG00000090007	U6	4	45794408	45794514	-1
ENSDARG00000087507	U6	4	42942535	42942641	-1
ENSDARG00000080724	U6	4	48167965	48168071	1
ENSDARG00000084026	5S_rRNA	2	16768660	16768779	1
ENSDARG00000086968	mir430a-12	4	28014867	28014948	1
ENSDARG00000080173	U6	4	48151133	48151239	1
ENSDARG00000090816	U6	4	53133495	53133601	-1
ENSDARG00000085477	5S_rRNA	5	35855805	35855921	-1
ENSDARG00000084206	5S_rRNA	5	31805473	31805589	1
ENSDARG00000090016	5S_rRNA	Zv9_NA210	21339	21456	1
ENSDARG00000085733	dre-mir-2197	1	39736330	39736439	-1
ENSDARG00000083886	dre-mir-2196	12	33604044	33604153	1
ENSDARG00000080647	SNORA13	13	28963837	28963971	1
ENSDARG00000087156	5S_rRNA	Zv9_NA79	39414	39530	-1
ENSDARG00000091164	U6	4	51302218	51302324	1
ENSDARG00000083034	CU467986.1	12	3575077	3575159	1
ENSDARG00000081340	5S_rRNA	1	36972461	36972591	1
ENSDARG00000090264	U1	4	37798671	37798834	-1
ENSDARG00000088806	Metazoa_SRP	11	12566454	12566748	-1
ENSDARG00000086502	U6	4	45802336	45802442	-1
ENSDARG00000087662	5S_rRNA	4	49851561	49851677	-1
ENSDARG00000091145	mir430c-7	4	28015008	28015089	1
ENSDARG00000088447	U1	4	37788231	37788394	-1
ENSDARG00000084151	5S_rRNA	6	6796742	6796864	1
ENSDARG00000085506	dre-mir-2185-3	17	39939006	39939103	1
ENSDARG00000084618	5S_rRNA	6	2972545	2972659	1
ENSDARG00000089145	CU104784.3	16	45143270	45143342	1
ENSDARG00000086710	5S_rRNA	2	6010092	6010206	1
ENSDARG00000086149	U6	4	45797045	45797151	-1
ENSDARG00000088790	SNORA14	13	50545795	50545927	-1
ENSDARG00000085668	5S_rRNA	3	60781462	60781590	1
ENSDARG00000085294	5S_rRNA	4	4563874	4563989	1
ENSDARG00000080889	U8	10	17030111	17030239	-1
ENSDARG00000090134	U6	4	45776442	45776548	-1
ENSDARG00000086811	5S_rRNA	Zv9_NA101	39834	39948	-1
ENSDARG00000083123	mir125a-1	16	27137452	27137534	1
ENSDARG00000088284	U1	4	37799976	37800139	-1
ENSDARG00000091507	5S_rRNA	Zv9_scaffold3469	23717	23817	1
ENSDARG00000087065	U6	4	53136665	53136771	-1
ENSDARG00000085605	5S_rRNA	2	17429460	17429578	1
ENSDARG00000090956	U6	4	42945706	42945812	-1
ENSDARG00000087760	5S_rRNA	Zv9_scaffold3529	40018	40134	-1
ENSDARG00000081802	SNORD12	11	7384285	7384371	-1
ENSDARG00000089845	Metazoa_SRP	11	12290608	12290912	-1
ENSDARG00000091041	SNORA14	13	50578041	50578173	-1
ENSDARG00000088106	U1	4	37801281	37801444	-1
ENSDARG00000082269	BX901937.1	1	45317627	45317802	-1
ENSDARG00000089317	5S_rRNA	Zv9_NA395	50723	50836	-1
ENSDARG00000086193	U6	4	51300117	51300218	1
ENSDARG00000088550	BX088538.2	4	28015239	28015329	1
ENSDARG00000085202	5S_rRNA	1	32066538	32066653	1
ENSDARG00000082897	5S_rRNA	1	37214320	37214438	-1
ENSDARG00000085722	5S_rRNA	2	6470817	6470931	-1
ENSDARG00000087354	U6	4	53139310	53139416	-1
ENSDARG00000084920	dre-mir-2185-3	17	39946165	39946262	1
ENSDARG00000087141	U1	4	56857740	56857886	1
ENSDARG00000083513	BX279525.1	12	35414450	35414543	-1
ENSDARG00000088093	mir430b-18	4	28013510	28013590	1
ENSDARG00000082254	U6	4	48151660	48151766	1
ENSDARG00000090761	U1	4	37802586	37802749	-1
ENSDARG00000090147	U8	10	17031001	17031133	-1
ENSDARG00000091048	mir430a-8	4	28015955	28016086	1
ENSDARG00000090978	5S_rRNA	4	60406390	60406504	-1
ENSDARG00000091670	U1	4	37789536	37789699	-1
ENSDARG00000085580	dre-mir-2186	12	6089184	6089293	-1
ENSDARG00000091147	U5	5	44741758	44741873	-1
ENSDARG00000090434	U6	4	45802866	45802972	-1
ENSDARG00000090567	Metazoa_SRP	11	12569037	12569331	1
ENSDARG00000088235	U3	14	11796349	11796563	-1
ENSDARG00000085034	5S_rRNA	Zv9_NA672	55805	55920	-1
ENSDARG00000085697	5S_rRNA	5	33511002	33511116	-1
ENSDARG00000089735	U1	4	37803891	37804054	-1
ENSDARG00000091839	U6	4	45776972	45777078	-1
ENSDARG00000084853	5S_rRNA	2	9995091	9995208	1
ENSDARG00000084721	5S_rRNA	1	25233114	25233229	-1
ENSDARG00000085845	5S_rRNA	2	18375814	18375928	1
ENSDARG00000088427	5S_rRNA	Zv9_NA156	55886	56002	-1
ENSDARG00000081271	CU104784.1	16	45143346	45143429	1
ENSDARG00000087944	Metazoa_SRP	11	12291391	12291675	1
ENSDARG00000090259	mir430c-2	4	28016141	28016219	1
ENSDARG00000080372	SNORD12	11	7384551	7384644	-1
ENSDARG00000081529	mir30d	16	27580697	27580824	1
ENSDARG00000083862	U6	4	48168490	48168563	1
ENSDARG00000090701	U6	4	51302745	51302851	1
ENSDARG00000086469	U1	4	37805196	37805359	-1
ENSDARG00000090017	5S_rRNA	4	50240192	50240308	1
ENSDARG00000089985	5S_rRNA	Zv9_NA36	56992	57106	1
ENSDARG00000081252	mir16b	1	47219486	47219625	-1
ENSDARG00000091774	U1	4	37806501	37806664	-1
ENSDARG00000091040	U6	4	45794933	45795039	-1
ENSDARG00000085125	5S_rRNA	5	36451876	36451991	-1
ENSDARG00000083921	5S_rRNA	6	4416630	4416765	-1
ENSDARG00000085177	U6	4	42948333	42948432	-1
ENSDARG00000086948	5S_rRNA	Zv9_NA179	58199	58312	-1
ENSDARG00000089613	mir430b-8	4	28016401	28016481	1
ENSDARG00000083206	mir338-1	12	38062318	38062402	1
ENSDARG00000080369	5S_rRNA	3	60819259	60819376	1
ENSDARG00000086818	U1	4	37807806	37807969	-1
ENSDARG00000081705	U8	10	17031930	17032066	-1
ENSDARG00000090085	mir430a-13	4	28016607	28016688	1
ENSDARG00000086441	U6	4	53137195	53137301	-1
ENSDARG00000088158	Metazoa_SRP	11	12294352	12294646	-1
ENSDARG00000085649	U6	4	42946231	42946337	-1
ENSDARG00000083877	5S_rRNA	6	7829913	7830034	-1
ENSDARG00000087580	5S_rRNA	Zv9_NA41	61274	61389	-1
ENSDARG00000083528	mir30b	16	27581005	27581092	1
ENSDARG00000088433	U1	4	37809111	37809274	-1
ENSDARG00000089872	Metazoa_SRP	11	12575122	12575427	-1
ENSDARG00000083266	SNORD12	11	7384825	7384917	-1
ENSDARG00000084977	5S_rRNA	Zv9_NA786	64973	65090	1
ENSDARG00000086582	mir430c-13	4	28016748	28016829	1
ENSDARG00000089025	CU467946.1	12	10729482	10729547	1
ENSDARG00000084778	5S_rRNA	4	6303602	6303737	1
ENSDARG00000086617	U6	4	51300632	51300738	1
ENSDARG00000090218	U1	4	56869880	56870043	-1
ENSDARG00000089196	mir92b	16	45736481	45736562	1
ENSDARG00000086909	U1	4	37810416	37810579	-1
ENSDARG00000083770	5S_rRNA	5	37441316	37441446	-1
ENSDARG00000088470	5S_rRNA	Zv9_NA384	67792	67907	-1
ENSDARG00000083428	5S_rRNA	2	7099614	7099732	1
ENSDARG00000091684	5S_rRNA	4	60890333	60890449	-1
ENSDARG00000088471	U6	4	48161532	48161638	1
ENSDARG00000089421	U1	4	37811721	37811884	-1
ENSDARG00000086045	U6	4	45797575	45797681	-1
ENSDARG00000083867	5S_rRNA	Zv9_scaffold3557	70637	70753	-1
ENSDARG00000085065	5S_rRNA	1	32081423	32081539	1
ENSDARG00000082850	U8	10	23047482	23047614	1
ENSDARG00000086320	U5	5	44742981	44743096	-1
ENSDARG00000080168	mir15a-1	1	47219729	47219812	-1
ENSDARG00000090983	mir430b-12	4	28017005	28017085	1
ENSDARG00000087770	Metazoa_SRP	11	12593601	12593857	-1
ENSDARG00000084282	5S_rRNA	5	33582222	33582337	1
ENSDARG00000081946	SNORD12	11	7385109	7385202	-1
ENSDARG00000087239	U1	4	37813026	37813189	-1
ENSDARG00000090588	U6	4	53139835	53139941	-1
ENSDARG00000085585	5S_rRNA	1	29214845	29214959	1
ENSDARG00000087351	5S_rRNA	Zv9_scaffold3510	76173	76288	-1
ENSDARG00000087739	Metazoa_SRP	11	12295444	12295736	1
ENSDARG00000089632	U1	4	37814331	37814494	-1
ENSDARG00000083423	mir107	12	18027645	18027733	1
ENSDARG00000080570	BX936437.1	12	40198959	40199030	-1
ENSDARG00000088144	BX511182.1	4	31772962	31773106	1
ENSDARG00000090520	U6	4	51303275	51303381	1
ENSDARG00000085483	5S_rRNA	6	5636439	5636553	-1
ENSDARG00000091386	CR854899.2	4	41539718	41539804	-1
ENSDARG00000080620	U1	4	42951682	42951830	1
ENSDARG00000085821	5S_rRNA	Zv9_scaffold3557	79697	79815	-1
ENSDARG00000082019	mir9-1	16	31444462	31444548	1
ENSDARG00000080340	CR933818.1	16	48966503	48966611	1
ENSDARG00000088838	CT583728.14	4	43891829	43891909	-1
ENSDARG00000088174	U1	4	37815636	37815799	-1
ENSDARG00000080236	CT573197.1	10	25999473	25999534	-1
ENSDARG00000087475	CT583728.7	4	43892041	43892126	-1
ENSDARG00000083895	5S_rRNA	2	10797962	10798095	1
ENSDARG00000088756	U6	4	45795463	45795569	-1
ENSDARG00000084451	5S_rRNA	4	264542	264659	1
ENSDARG00000086854	5S_rRNA	4	50334766	50334880	-1
ENSDARG00000090102	5S_rRNA	Zv9_scaffold3492	81705	81819	1
ENSDARG00000086387	U6	4	53137720	53137826	-1
ENSDARG00000090331	CT583728.21	4	43892184	43892281	-1
ENSDARG00000084061	5S_rRNA	6	8203209	8203325	1
ENSDARG00000090944	U1	4	37816941	37817104	-1
ENSDARG00000090284	Metazoa_SRP	11	12526967	12527254	-1
ENSDARG00000086273	5S_rRNA	Zv9_scaffold3533	83346	83446	1
ENSDARG00000084110	U6	4	42946760	42946866	-1
ENSDARG00000084899	5S_rRNA	5	40312643	40312759	1
ENSDARG00000089273	CT583728.15	4	43905700	43905791	-1
ENSDARG00000083874	dre-mir-2192	12	18774341	18774450	-1
ENSDARG00000090926	U1	4	37818246	37818409	-1
ENSDARG00000085395	5S_rRNA	4	61110884	61111001	-1
ENSDARG00000089884	CT583728.16	4	43906192	43906291	-1
ENSDARG00000080474	BX537118.1	1	50698434	50698525	-1
ENSDARG00000083175	5S_rRNA	Zv9_NA654	85651	85768	-1
ENSDARG00000082105	SNORD14	10	30758329	30758424	1
ENSDARG00000088311	CT583728.11	4	43919961	43920041	-1
ENSDARG00000084983	U6	5	8882826	8882924	1
ENSDARG00000087284	U1	4	37819551	37819714	-1
ENSDARG00000084982	5S_rRNA	2	7973626	7973741	1
ENSDARG00000091789	CT583728.24	4	43920173	43920258	-1
ENSDARG00000089053	5S_rRNA	1	32258753	32258871	1
ENSDARG00000091002	U6	4	48164552	48164658	1
ENSDARG00000087113	AL645743.2	16	32531049	32531121	-1
ENSDARG00000086687	5S_rRNA	Zv9_scaffold3497	96000	96114	1
ENSDARG00000088697	CT583728.13	4	43920316	43920413	-1
ENSDARG00000088649	CU459152.1	12	40535748	40535828	1
ENSDARG00000090214	5S_rRNA	5	34255546	34255663	1
ENSDARG00000089777	U6	4	51301162	51301268	1
ENSDARG00000087368	Metazoa_SRP	11	12532721	12533015	-1
ENSDARG00000080578	dre-mir-455b	16	55426098	55426202	1
ENSDARG00000089013	5S_rRNA	1	30487663	30487779	1
ENSDARG00000085448	5S_rRNA	6	5988769	5988885	-1
ENSDARG00000085500	U3	11	18599503	18599599	-1
ENSDARG00000086444	U6	4	45798105	45798211	-1
ENSDARG00000082096	CU571077.1	1	56457021	56457113	-1
ENSDARG00000090726	U5	5	44744201	44744316	-1
ENSDARG00000081235	SNORD14	10	30758757	30758852	1
ENSDARG00000091423	mir430b-16	4	28011158	28011238	1
ENSDARG00000080195	mir338-2	12	18795077	18795200	1
ENSDARG00000088220	U6	4	53140365	53140471	-1
ENSDARG00000088809	U6	4	45795993	45796099	-1
ENSDARG00000082803	U1	4	42952977	42953140	1
ENSDARG00000086140	CR391994.1	12	40645830	40645915	1
ENSDARG00000091780	U6	4	51303805	51303911	1
ENSDARG00000084912	5S_rRNA	2	11035191	11035312	1
ENSDARG00000086888	SCARNA15	11	24573119	24573247	-1
ENSDARG00000085801	5S_rRNA	7	31785923	31786038	-1
ENSDARG00000090476	U5	5	44745424	44745539	-1
ENSDARG00000088312	CABZ01111458.1	16	57982799	57982871	-1
ENSDARG00000085222	5S_rRNA	18	20473522	20473638	1
ENSDARG00000085680	5S_rRNA	1	32666811	32666925	-1
ENSDARG00000081832	CABZ01086996.1	12	49153043	49153137	1
ENSDARG00000081976	5S_rRNA	6	49062730	49062855	1
ENSDARG00000089770	5S_rRNA	5	40398661	40398775	-1
ENSDARG00000082614	U2	7	72207166	72207356	1
ENSDARG00000089895	U1	12	2885709	2885872	-1
ENSDARG00000085890	5S_rRNA	18	20972376	20972495	1
ENSDARG00000081218	5_8S_rRNA	4	61299024	61299179	-1
ENSDARG00000087689	U5	5	44818831	44818946	-1
ENSDARG00000087549	U6	4	45798632	45798738	-1
ENSDARG00000086456	5S_rRNA	18	21864483	21864597	-1
ENSDARG00000083733	SCARNA14	11	37953904	37954033	-1
ENSDARG00000084108	5S_rRNA	7	32819995	32820111	-1
ENSDARG00000083375	CR853296.1	17	2802822	2802915	-1
ENSDARG00000087883	5S_rRNA	7	75367605	75367719	1
ENSDARG00000089826	U6	4	45772216	45772322	-1
ENSDARG00000084833	5S_rRNA	6	49843556	49843670	1
ENSDARG00000084447	5S_rRNA	6	8733780	8733895	1
ENSDARG00000080448	U1	8	4914206	4914369	1
ENSDARG00000090992	5S_rRNA	18	23252857	23252971	1
ENSDARG00000089916	U5	5	44820054	44820169	-1
ENSDARG00000089989	U1	12	2887554	2887717	-1
ENSDARG00000083715	5S_rRNA	18	23760563	23760691	-1
ENSDARG00000083943	5S_rRNA	7	33417681	33417797	-1
ENSDARG00000084827	5S_rRNA	6	50015846	50015962	1
ENSDARG00000083050	5S_rRNA	7	75671970	75672088	-1
ENSDARG00000085671	5S_rRNA	18	24942356	24942472	-1
ENSDARG00000088400	U6	8	40301766	40301872	-1
ENSDARG00000091050	U5	5	44821277	44821392	-1
ENSDARG00000084988	5S_rRNA	18	26692178	26692294	1
ENSDARG00000089137	U1	12	2888845	2889008	-1
ENSDARG00000080031	5S_rRNA	17	20533332	20533450	-1
ENSDARG00000085579	5S_rRNA	7	34016150	34016265	1
ENSDARG00000090367	5S_rRNA	6	50086985	50087103	-1
ENSDARG00000082031	5S_rRNA	6	53612264	53612383	1
ENSDARG00000082311	5S_rRNA	18	27081232	27081349	-1
ENSDARG00000083412	5S_rRNA	16	19181764	19181886	-1
ENSDARG00000085233	5S_rRNA	8	899208	899324	1
ENSDARG00000083432	mir22b	5	13813148	13813229	1
ENSDARG00000090231	U6	8	40302293	40302399	-1
ENSDARG00000084893	5S_rRNA	17	31074899	31075015	-1
ENSDARG00000084966	5S_rRNA	17	20960414	20960530	-1
ENSDARG00000083224	mir130c-2	5	14491174	14491254	1
ENSDARG00000089583	U5	5	44822500	44822615	-1
ENSDARG00000085020	5S_rRNA	18	27140577	27140693	1
ENSDARG00000085235	5S_rRNA	7	40070520	40070634	1
ENSDARG00000082169	mir301b	5	14491699	14491779	1
ENSDARG00000081232	mir454b	5	14498653	14498768	1
ENSDARG00000080347	mir130b	5	14501677	14501760	1
ENSDARG00000090258	U1	12	2890136	2890299	-1
ENSDARG00000084540	5S_rRNA	14	46738220	46738339	-1
ENSDARG00000082465	CR847528.1	5	16951519	16951585	1
ENSDARG00000080278	5S_rRNA	17	22616189	22616306	-1
ENSDARG00000085345	5S_rRNA	7	34746814	34746930	-1
ENSDARG00000084910	5S_rRNA	8	4446047	4446165	1
ENSDARG00000080589	mir223	5	24017735	24017833	-1
ENSDARG00000090523	5S_rRNA	6	50640671	50640785	1
ENSDARG00000084665	5S_rRNA	18	27279308	27279426	-1
ENSDARG00000084492	5S_rRNA	12	11290018	11290134	1
ENSDARG00000084123	5S_rRNA	17	22755224	22755352	-1
ENSDARG00000084161	5S_rRNA	7	12031416	12031532	1
ENSDARG00000089944	U6	8	40302820	40302926	-1
ENSDARG00000082329	5S_rRNA	24	6488573	6488695	1
ENSDARG00000088425	U5	5	44875081	44875196	-1
ENSDARG00000089597	U1	4	37820856	37821019	-1
ENSDARG00000085186	5S_rRNA	8	1950317	1950433	1
ENSDARG00000090322	5S_rRNA	18	38320863	38320979	1
ENSDARG00000089740	U5	5	44823723	44823838	-1
ENSDARG00000090784	CT583728.23	4	43921260	43921351	-1
ENSDARG00000089395	5S_rRNA	7	12421414	12421528	-1
ENSDARG00000085151	5S_rRNA	16	19578648	19578782	1
ENSDARG00000086311	CT583728.1	4	43921752	43921851	-1
ENSDARG00000084158	5S_rRNA	18	27685632	27685748	1
ENSDARG00000089741	U5	5	44876304	44876419	-1
ENSDARG00000086058	U5	5	44831061	44831176	-1
ENSDARG00000082641	5S_rRNA	Zv9_scaffold3562	107502	107618	-1
ENSDARG00000083922	5S_rRNA	17	23053631	23053747	1
ENSDARG00000082308	5S_rRNA	7	12991054	12991171	1
ENSDARG00000083698	5S_rRNA	17	31443544	31443658	-1
ENSDARG00000086659	U1	4	37822161	37822324	-1
ENSDARG00000083326	5S_rRNA	7	35187698	35187817	1
